ticker,created,id,polarity1,sentiment,subjectivity1,polarity2,subjectivity2
MMM,Mon Apr 04 18:53:44 +0000 2022,1.51E+18,0.106666667,positive,0.526666667,0.106666667,0.526666667
MMM,Mon Apr 04 16:55:27 +0000 2022,1.51E+18,0,neutral,0,0,0
MMM,Mon Apr 04 16:00:46 +0000 2022,1.51E+18,0,neutral,0.1,0,0
MMM,Mon Apr 04 14:30:00 +0000 2022,1.51E+18,0,neutral,0,0,0
MMM,Fri Apr 01 14:48:13 +0000 2022,1.51E+18,1,positive,0.3,1,0.3
MMM,Thu Mar 31 22:51:05 +0000 2022,1.51E+18,1,positive,0.3,1,0.3
MMM,Thu Mar 31 22:30:02 +0000 2022,1.51E+18,0.275,positive,0.5,0.2,0.5
MMM,Thu Mar 31 20:28:37 +0000 2022,1.51E+18,0.106666667,positive,0.526666667,0.106666667,0.526666667
MMM,Thu Mar 31 17:33:06 +0000 2022,1.51E+18,1,positive,0.3,1,0.3
AOS,Mon Apr 04 14:50:02 +0000 2022,1.51E+18,0.25,positive,0.333333333,0.25,0.333333333
AOS,Mon Apr 04 12:36:01 +0000 2022,1.51E+18,0,neutral,0,0,0
ABT,Mon Apr 04 20:06:10 +0000 2022,1.51E+18,0,neutral,0.1,0,0
ABT,Mon Apr 04 15:59:01 +0000 2022,1.51E+18,0,neutral,0,0,0
ABT,Fri Apr 01 14:08:50 +0000 2022,1.51E+18,0,neutral,0,0,0
ABT,Fri Apr 01 00:51:05 +0000 2022,1.51E+18,1,positive,0.3,1,0.3
ABT,Thu Mar 31 19:33:06 +0000 2022,1.51E+18,1,positive,0.3,1,0.3
ABT,Thu Mar 31 12:40:44 +0000 2022,1.51E+18,0.16,positive,0.54,0.16,0.54
ABBV,Mon Apr 04 19:00:34 +0000 2022,1.51E+18,-0.107407407,negative,0.285185185,-0.107407407,0.285185185
ABBV,Mon Apr 04 16:40:43 +0000 2022,1.51E+18,0.425,positive,0.616666667,0.425,0.616666667
ABBV,Mon Apr 04 14:06:25 +0000 2022,1.51E+18,0,neutral,0.1,0,0
ABBV,Mon Apr 04 13:26:19 +0000 2022,1.51E+18,0.16,positive,0.54,0.16,0.54
ABBV,Fri Apr 01 13:07:22 +0000 2022,1.51E+18,0,neutral,0,0,0
ABBV,Fri Apr 01 12:35:35 +0000 2022,1.51E+18,0.106666667,positive,0.526666667,0.106666667,0.526666667
ABBV,Fri Apr 01 00:48:07 +0000 2022,1.51E+18,1,positive,0.3,1,0.3
ABBV,Thu Mar 31 17:16:15 +0000 2022,1.51E+18,0,neutral,0,0,0
ABBV,Wed Mar 30 22:15:20 +0000 2022,1.51E+18,1,positive,0.3,1,0.3
ABMD,Mon Apr 04 21:09:05 +0000 2022,1.51E+18,0,neutral,0.75,0,0.75
ABMD,Fri Apr 01 21:51:19 +0000 2022,1.51E+18,0.106666667,positive,0.526666667,0.106666667,0.526666667
ACN,Mon Apr 04 22:00:58 +0000 2022,1.51E+18,0,neutral,0,0,0
ACN,Mon Apr 04 13:08:20 +0000 2022,1.51E+18,0,neutral,0.1,0,0
ACN,Mon Apr 04 11:01:49 +0000 2022,1.51E+18,0.152840909,positive,0.34905303,0.152840909,0.34905303
ACN,Mon Apr 04 08:42:21 +0000 2022,1.51E+18,0,neutral,0,0,0
ACN,Mon Apr 04 08:03:05 +0000 2022,1.51E+18,0,neutral,0,0,0
ACN,Sat Apr 02 18:44:24 +0000 2022,1.51E+18,0,neutral,0,0,0
ACN,Fri Apr 01 14:10:28 +0000 2022,1.51E+18,0,neutral,0,0,0
ACN,Thu Mar 31 14:18:09 +0000 2022,1.51E+18,1,positive,0.3,1,0.3
ATVI,Mon Apr 04 12:44:30 +0000 2022,1.51E+18,0,neutral,0,0,0
ATVI,Mon Apr 04 03:33:06 +0000 2022,1.51E+18,0.2,positive,0.45,0.4,0.8
ATVI,Mon Apr 04 01:02:30 +0000 2022,1.51E+18,0.2,positive,0.45,0.4,0.8
ATVI,Fri Apr 01 18:40:08 +0000 2022,1.51E+18,0.106666667,positive,0.526666667,0.106666667,0.526666667
ADM,Sat Apr 02 00:43:29 +0000 2022,1.51E+18,0,neutral,0,0,0
ADM,Fri Apr 01 21:46:01 +0000 2022,1.51E+18,0.276190476,positive,0.347619048,0.164285714,0.271428571
ADM,Fri Apr 01 00:50:59 +0000 2022,1.51E+18,0,neutral,0,0,0
ADBE,Fri Apr 01 13:01:32 +0000 2022,1.51E+18,0,neutral,0,0,0
ADBE,Fri Apr 01 00:57:05 +0000 2022,1.51E+18,1,positive,0.3,1,0.3
ADBE,Thu Mar 31 20:01:40 +0000 2022,1.51E+18,0,neutral,0,0,0
ADP,Mon Apr 04 19:53:12 +0000 2022,1.51E+18,0,neutral,0,0,0
ADP,Wed Mar 30 19:13:16 +0000 2022,1.51E+18,0,neutral,0,0,0
AAP,Sat Apr 02 01:43:15 +0000 2022,1.51E+18,0.106666667,positive,0.526666667,0.106666667,0.526666667
AES,Mon Apr 04 15:31:19 +0000 2022,1.51E+18,0.275,positive,0.5,0.2,0.5
AES,Sun Apr 03 00:01:31 +0000 2022,1.51E+18,-0.140740741,negative,0.185185185,-0.140740741,0.185185185
AES,Wed Mar 30 19:01:09 +0000 2022,1.51E+18,0.275,positive,0.5,0.2,0.5
AES,Wed Mar 30 19:00:51 +0000 2022,1.51E+18,0.275,positive,0.5,0.2,0.5
AES,Wed Mar 30 18:52:49 +0000 2022,1.51E+18,0.275,positive,0.5,0.2,0.5
AFL,Mon Apr 04 21:09:04 +0000 2022,1.51E+18,0,neutral,0.75,0,0.75
AFL,Wed Mar 30 22:30:02 +0000 2022,1.51E+18,0.275,positive,0.5,0.2,0.5
A,Mon Apr 04 18:48:28 +0000 2022,1.51E+18,0,neutral,0,0,0
A,Mon Apr 04 17:07:43 +0000 2022,1.51E+18,0.375,positive,0.875,0.375,0.875
A,Mon Apr 04 17:00:00 +0000 2022,1.51E+18,0.125,positive,0.166666667,0.125,0.166666667
