ticker,created,id,sent_score,sentiment
MMM,Thu Mar 31 22:51:05 +0000 2022,1.51E+18,1,positive
MMM,Thu Mar 31 22:30:02 +0000 2022,1.51E+18,0.275,positive
MMM,Thu Mar 31 20:28:37 +0000 2022,1.51E+18,0.106666667,positive
MMM,Thu Mar 31 17:33:06 +0000 2022,1.51E+18,1,positive
MMM,Tue Mar 29 23:03:05 +0000 2022,1.51E+18,1,positive
ABT,Thu Mar 31 19:33:06 +0000 2022,1.51E+18,1,positive
ABT,Thu Mar 31 12:40:44 +0000 2022,1.51E+18,0.16,positive
ABT,Wed Mar 30 17:08:10 +0000 2022,1.51E+18,0,neutral
ABT,Wed Mar 30 11:33:39 +0000 2022,1.51E+18,0,neutral
ABBV,Thu Mar 31 17:16:15 +0000 2022,1.51E+18,0,neutral
ABBV,Wed Mar 30 22:15:20 +0000 2022,1.51E+18,1,positive
ACN,Thu Mar 31 14:18:09 +0000 2022,1.51E+18,1,positive
ACN,Wed Mar 30 16:05:17 +0000 2022,1.51E+18,0.106666667,positive
ATVI,Wed Mar 30 15:00:03 +0000 2022,1.51E+18,0.275,positive
ATVI,Wed Mar 30 14:50:06 +0000 2022,1.51E+18,0,neutral
ATVI,Wed Mar 30 14:19:55 +0000 2022,1.51E+18,0,neutral
ADM,Wed Mar 30 14:00:31 +0000 2022,1.51E+18,-0.083333333,negative
ADBE,Thu Mar 31 20:01:40 +0000 2022,1.51E+18,0,neutral
ADP,Wed Mar 30 19:13:16 +0000 2022,1.51E+18,0,neutral
ADP,Wed Mar 30 12:21:59 +0000 2022,1.51E+18,0,neutral
ADP,Wed Mar 30 11:52:36 +0000 2022,1.51E+18,0,neutral
AES,Wed Mar 30 19:01:09 +0000 2022,1.51E+18,0.275,positive
AES,Wed Mar 30 19:00:51 +0000 2022,1.51E+18,0.275,positive
AES,Wed Mar 30 18:52:49 +0000 2022,1.51E+18,0.275,positive
AFL,Wed Mar 30 22:30:02 +0000 2022,1.51E+18,0.275,positive
A,Thu Mar 31 19:28:00 +0000 2022,1.51E+18,0.51,positive
A,Thu Mar 31 07:31:21 +0000 2022,1.51E+18,0.4,positive
A,Thu Mar 31 01:14:19 +0000 2022,1.51E+18,0.193181818,positive
A,Wed Mar 30 23:10:58 +0000 2022,1.51E+18,0.136363636,positive
A,Wed Mar 30 21:01:30 +0000 2022,1.51E+18,0,neutral
A,Wed Mar 30 20:25:33 +0000 2022,1.51E+18,0.093181818,positive
A,Wed Mar 30 19:12:25 +0000 2022,1.51E+18,0.136363636,positive
A,Wed Mar 30 15:05:59 +0000 2022,1.51E+18,0,neutral
A,Wed Mar 30 13:24:33 +0000 2022,1.51E+18,0,neutral
A,Wed Mar 30 12:22:01 +0000 2022,1.51E+18,0.15,positive
AIG,Thu Mar 31 12:35:41 +0000 2022,1.51E+18,0.271428571,positive
AKAM,Wed Mar 30 22:12:25 +0000 2022,1.51E+18,0,neutral
AKAM,Wed Mar 30 19:15:01 +0000 2022,1.51E+18,0,neutral
ARE,Thu Mar 31 12:43:03 +0000 2022,1.51E+18,0.216666667,positive
ARE,Wed Mar 30 03:44:19 +0000 2022,1.51E+18,0,neutral
ALGN,Wed Mar 30 19:28:45 +0000 2022,1.51E+18,0.106666667,positive
LNT,Thu Mar 31 23:16:25 +0000 2022,1.51E+18,0.16,positive
ALL,Thu Mar 31 12:30:34 +0000 2022,1.51E+18,0.016666667,positive
GOOGL,Thu Mar 31 21:51:05 +0000 2022,1.51E+18,1,positive
GOOGL,Thu Mar 31 20:10:10 +0000 2022,1.51E+18,0,neutral
GOOGL,Thu Mar 31 16:33:06 +0000 2022,1.51E+18,1,positive
GOOGL,Wed Mar 30 23:12:39 +0000 2022,1.51E+18,0.003333333,positive
GOOGL,Wed Mar 30 20:21:12 +0000 2022,1.51E+18,0,neutral
GOOGL,Wed Mar 30 20:12:33 +0000 2022,1.51E+18,0.1,positive
GOOGL,Wed Mar 30 18:01:34 +0000 2022,1.51E+18,0,neutral
GOOGL,Wed Mar 30 15:39:16 +0000 2022,1.51E+18,-0.1875,negative
GOOGL,Wed Mar 30 13:47:20 +0000 2022,1.51E+18,0,neutral
GOOG,Thu Mar 31 21:48:07 +0000 2022,1.51E+18,1,positive
GOOG,Thu Mar 31 16:30:28 +0000 2022,1.51E+18,1,positive
GOOG,Thu Mar 31 14:34:59 +0000 2022,1.51E+18,0.016071429,positive
GOOG,Wed Mar 30 23:12:39 +0000 2022,1.51E+18,0.003333333,positive
