ticker,change,volume
MMM,-0.016707382,2513140
AOS,-0.012981141,1438000
ABT,-0.007476274,4792400
ABBV,-0.001954243,6620020
ABMD,-0.017807695,265680
ACN,0.012881924,2388020
ATVI,0.000248838,5299660
ADM,0.017917116,3197940
ADBE,-0.003216996,3240740
ADP,0.044959632,2270480
AAP,-0.000424944,679420
AES,0.019253429,5060340
AFL,-0.026412207,2170620
A,-0.014696526,1827660
AIG,-0.016380546,3736840
APD,0.000556508,1248660
AKAM,-0.005779844,1240780
ALK,-0.019651774,1698500
ALB,-0.02621551,964040
ARE,0.003266051,831820
ALGN,-0.012144708,607040
ALLE,-0.028407598,603500
LNT,0.006361287,1098200
ALL,-0.022437452,1628760
GOOGL,-0.009493531,1307020
GOOG,-0.011086962,1123660
MO,0.011335258,6725340
AMZN,-0.013505608,2767800
AMCR,-0.00433653,6205280
AMD,-0.104009406,105590400
AEE,0.011937782,1388120
AAL,-0.011634299,29107200
AEP,0.019010254,2643980
AXP,-0.022976395,2934480
AMT,0.04803292,2056640
AWK,0.010792844,754280
AMP,-0.038828066,596180
ABC,0.003996359,865760
AME,-0.026877351,968500
AMGN,0.008203777,2655920
APH,-0.030243772,2212400
ADI,-0.03904373,4178960
ANSS,-0.00390247,436960
ANTM,-0.015324017,1242520
AON,-0.001286845,969880
APA,0.011893152,7244640
AAPL,-0.015244454,84850500
AMAT,-0.10375555,8999920
APTV,-0.076784583,1838140
ANET,0.020840906,1596220
AIZ,-0.00164683,410380
T,-0.010356255,38735880
ATO,-0.001163075,974440
ADSK,-0.042760167,1517360
AZO,-0.010924987,175840
AVB,-0.009962272,613520
AVY,-0.008030301,773060
BKR,-0.048995933,9939680
BLL,-0.019127774,1526200
BAC,-0.066511642,54388620
BBWI,-0.059919871,4821740
BAX,-0.036407149,4075400
BDX,-0.000283809,1124154.6
WRB,-0.009839053,1543620
BBY,-0.040547585,3139180
BIO,-0.009272194,212700
TECH,-0.021090504,275760
BIIB,-0.016206218,883600
BLK,-0.016633211,808560
BK,-0.055555576,4806700
BA,-0.062900875,7685200
BKNG,-0.012882354,306460
BWA,-0.064108964,1805460
BXP,-0.038667259,602240
BSX,-0.007830029,8852400
BMY,0.009631024,13516960
AVGO,-0.026890033,1857620
BR,0.023549783,478220
BRO,-0.004813622,1501680
CHRW,-0.075163993,1589860
CDNS,0.000857262,1459940
CZR,-0.004772283,2024840
CPT,0.001768782,5641520
CPB,0.017687134,2271200
COF,-0.030118264,2692380
CAH,-0.013881645,2104220
KMX,-0.016842304,1586160
CCL,0.031632598,37738400
CARR,-0.063695581,3513200
CTLT,0.014797432,1100260
CAT,-0.031647828,2808140
CBOE,-0.013165944,646860
CBRE,-0.019941776,1636840
CDW,-0.011240408,868880
CE,-0.014657046,809820
CNC,-0.017716521,2464640
CNP,0.008122157,4725120
CDAY,-0.051430186,1977700
CERN,-0.005445832,3081660
CF,0.017423963,3530380
CRL,-0.004139867,403860
SCHW,-0.077737735,9934880
CHTR,-0.023381073,1164980
CVX,-0.012811187,9470700
CMG,0.019439788,181880
CB,-0.023540207,1462300
CHD,0.016829569,1213760
CI,-0.003010233,1430100
CINF,-0.020774486,530220
CTAS,-0.001412041,450720
CSCO,-0.02016059,19373980
C,-0.061669989,30770140
CFG,-0.080341846,7099880
CTXS,-0.000886751,965840
CLX,0.033691734,1267660
CME,-0.017948703,1719460
CMS,0.016002326,1882900
KO,0.004179427,14066780
CTSH,-0.050224274,2718200
CL,0.014274441,5511580
CMCSA,0.003774383,16460020
CMA,-0.043632871,1488140
CAG,0.020957992,4453040
COP,-0.030168106,6687020
ED,0.014989952,1754280
STZ,-0.011755644,744380
CEG,0.026086957,2387280
COO,-0.002088289,265200
CPRT,-0.008475256,1237680
GLW,-0.050825002,4455980
CTVA,-0.001541891,3155120
COST,-0.001994837,2297600
CTRA,-0.02656831,9061860
CCI,0.046326415,1791460
CSX,-0.066931186,14528160
CMI,-0.045235533,1254400
CVS,-0.039497864,7382680
DHI,-0.061351203,4095740
DHR,-0.03359561,3204100
DRI,-0.016253982,1291200
DVA,-0.003576691,574140
DE,-0.004427858,1519960
DAL,-0.007627842,10017600
XRAY,-0.018567067,1539820
DVN,-0.03451123,8458140
DXCM,-0.005009511,879460
FANG,-0.026374404,1705080
DLR,0.015607658,1215080
DFS,-0.022420345,1483420
DISCA,-0.049805473,8189760
DISCK,-0.04974733,4244020
DISH,-0.005018816,1939280
DIS,-0.037883168,9485980
DG,0.008308785,1713340
DLTR,-0.028567874,2007180
D,0.007725577,2683760
DPZ,-0.037167342,574720
DOV,-0.041474677,744980
DOW,-0.011982578,3569520
DTE,0.013050662,947480
DUK,0.009328967,2463360
DRE,0.003214323,1602860
DD,-0.046250338,2540340
DXC,-0.070392693,1777320
EMN,-0.037795272,1184500
ETN,-0.056927864,1832200
EBAY,-0.049865213,6393260
ECL,-0.001164032,1407320
EIX,0.01194935,1892640
EW,0.026731617,3025500
EA,-0.014254384,1515400
EMR,-0.024449441,2434400
ENPH,0.074141888,2196700
ETR,0.036483225,1315540
EOG,-0.026922079,2645000
EPAM,-0.036211554,832600
EFX,-0.032062759,812460
EQIX,0.01139548,380520
EQR,-0.00765024,1296440
ESS,0.000688203,282700
EL,-0.023284138,1226240
ETSY,-0.032327519,3396960
RE,-0.019165123,266760
EVRG,0.012012887,1143580
ES,0.016358269,1501780
EXC,0.012068594,7874140
EXPE,-0.009054512,2021580
EXPD,-0.073432834,1451000
