ticker,change
MMM,0.012653149
AOS,-0.013986999
ABT,-0.023078229
ABBV,0.007997493
ABMD,0.039577541
ACN,0.009892115
ATVI,0.009639804
ADM,0.072624988
ADBE,-0.048435815
ADP,0.030630944
AAP,0.047776437
AES,0.037904656
AFL,0.03359617
A,-0.017590797
AIG,0.044379683
APD,0.052775409
AKAM,0.016985631
ALK,0.06884996
ALB,0.095127893
ARE,0.007543695
ALGN,-0.004693964
ALLE,-0.042217458
LNT,0.014604582
ALL,0.054040023
GOOGL,0.040936334
GOOG,0.036950824
MO,0.026220075
AMZN,0.020323017
AMCR,-0.010471194
AMD,0.032349897
AEE,0.014755195
AAL,0.057178376
AEP,0.022705606
AXP,0.006293313
AMT,-0.003931456
AWK,0.016177369
AMP,0.052802404
ABC,0.009857748
AME,-0.008389672
AMGN,0.01045187
APH,-0.004996777
ADI,0.008586065
ANSS,-0.005407992
ANTM,0.010000021
AON,0.015854069
APA,0.015900139
AAPL,0.056475971
AMAT,0.02131148
APTV,0.017643475
ANET,0.04888213
AIZ,0.035357522
T,0.029360981
ATO,0.028462329
ADSK,-0.001130076
AZO,0.045701015
AVB,0.009843541
AVY,0.013878287
BKR,0.069022637
BLL,0.006945945
BAC,0.020774962
BBWI,0.032650512
BAX,-0.023276457
BDX,-0.007212286
WRB,0.010207284
BBY,-0.027665568
BIO,-0.027035403
TECH,-0.006366325
BIIB,0.020115099
BLK,0.00982511
BK,0.010732108
BA,0.016406687
BKNG,0.040039069
BWA,0.005471576
BXP,0.034021166
BSX,-0.018501798
BMY,0.031386288
AVGO,0.04586808
BR,0.005330334
BRO,0.012372329
CHRW,0.039882297
CDNS,0.010432566
CZR,-0.013887073
CPT,-0.001151949
CPB,0.048504768
COF,0.010711116
CAH,0.006250011
KMX,-0.051856905
CCL,-0.029551522
CARR,-0.022957038
CTLT,-0.006402476
CAT,-0.001564553
CBOE,-0.011118715
CBRE,-0.000332323
CDW,-0.014765924
CE,0.00952715
CNC,-0.0133718
CNP,0.031896863
CDAY,-0.00014833
CERN,0.000106849
CF,0.08103839
CRL,-0.026202783
SCHW,0.02640151
CHTR,-0.013273962
CVX,0.028364906
CMG,0.010492098
CB,0.022585329
CHD,0.004408451
CI,0.000287493
CINF,0.04408511
CTAS,0.05627401
CSCO,-0.018392835
C,-0.004211967
CFG,-0.007742483
CTXS,0.005171085
CLX,0.019271002
CME,-0.012123119
CMS,0.028810276
KO,0.015681692
CTSH,0.001313084
CL,0.008496254
CMCSA,0.009856501
CMA,0.028401868
CAG,0.029098884
COP,0.046126876
ED,0.034721454
STZ,0.015762663
CEG,0.093051562
COO,-0.023106187
CPRT,-0.000237595
GLW,0.015079357
CTVA,0.049868308
COST,0.000324002
CTRA,0.143591735
CCI,0.01416331
CSX,0.001627715
CMI,0.017026485
CVS,0.010894852
DHI,-0.062228608
DHR,-0.006015108
DRI,-0.010519818
DVA,0.022162607
DE,0.033531467
DAL,0.050429473
XRAY,0.008933982
DVN,0.017252627
DXCM,0.044814713
FANG,0.047397694
DLR,0.0076542
DFS,0.009988431
DISCA,0.045889131
DISCK,0.042764372
DISH,-0.010880005
DIS,0.003751293
DG,-0.030341475
DLTR,0.009357233
D,0.02615177
DPZ,-0.013273335
DOV,0.000758694
DOW,0.021471373
DTE,0.021636567
DUK,0.027976578
DRE,0.012308216
DD,0.00442992
DXC,0.016671695
EMN,0.008932671
ETN,-0.002716775
EBAY,0.037960927
ECL,0.040241302
EIX,0.051191906
EW,0.007350961
EA,0.01401722
EMR,0.003156876
ENPH,0.04507954
ETR,0.036652571
EOG,0.016740185
EPAM,-0.06090473
EFX,-0.010006684
EQIX,-0.010602557
EQR,0.001462451
ESS,0.00978739
EL,0.003358081
ETSY,-0.069937419
RE,0.042209885
EVRG,0.028778009
ES,0.025319535
EXC,0.042372847
EXPE,0.010411248
EXPD,-0.030431465
EXR,0.008370761
XOM,0.036496352
FFIV,0.018095356
FDS,-0.053346126
FAST,-0.003116283
FRT,0.018742585
FDX,0.019805518
FITB,0.006240523
FRC,-0.006494645
FE,0.028440406
FIS,0.026113464
FISV,0.009542031
FLT,0.019855717
FMC,0.039193374
F,-0.00060681
FTNT,0.057864154
FTV,0.002769602
FBHS,-0.067643934
FOXA,0.009057595
FOX,0.007458678
BEN,0.006509957
FCX,0.048879056
AJG,0.008642435
GRMN,-0.001113944
IT,-0.004381194
GE,-0.008437071
GNRC,0.001826615
GD,0.035116673
GIS,0.072747528
GPC,0.002026774
GILD,-0.012571237
GL,0.02773585
GPN,0.013318517
GM,0.000917242
GS,-0.004454306
GWW,0.000177767
HAL,0.035125057
HIG,0.016780827
HAS,-0.050559331
HCA,-0.0056584
PEAK,0.032851119
HSIC,-0.003629349
HSY,0.028844281
HES,0.050361131
HPE,0.028739103
HLT,0.007648779
HOLX,0.00343056
HD,-0.056744703
HON,0.024712408
HRL,0.019095493
HST,0.034688312
HWM,0.031215131
